Start             End               Sif   SrcIPaddress    SrcP  DIf   DstIPaddress    DstP    P Fl Pkts       Octets
0410.21:47:49.916 0410.21:47:49.936 0     192.168.0.36    14812 0     192.168.0.1     53    17  0  1          72        
0410.21:47:49.917 0410.21:47:49.943 0     192.168.0.1     53    0     192.168.0.36    28962 17  0  1          153       
0410.21:47:49.917 0410.21:47:49.943 0     192.168.0.36    28962 0     192.168.0.1     53    17  0  1          72        
0410.21:47:50.010 0410.21:47:50.026 0     192.168.0.1     53    0     192.168.0.36    3714  17  0  1          169       
0410.21:47:50.010 0410.21:47:50.026 0     192.168.0.36    3714  0     192.168.0.1     53    17  0  1          88        
0410.21:47:50.011 0410.21:47:50.032 0     192.168.0.1     53    0     192.168.0.36    62463 17  0  1          169       
0410.21:47:50.011 0410.21:47:50.032 0     192.168.0.36    62463 0     192.168.0.1     53    17  0  1          88        
0410.21:47:50.033 0410.21:47:50.068 0     192.168.0.1     53    0     192.168.0.36    40537 17  0  1          169       
0410.21:47:50.033 0410.21:47:50.068 0     192.168.0.36    40537 0     192.168.0.1     53    17  0  1          88        
0410.21:47:50.034 0410.21:47:50.068 0     192.168.0.1     53    0     192.168.0.36    33010 17  0  1          169       
0410.21:47:50.034 0410.21:47:50.068 0     192.168.0.36    33010 0     192.168.0.1     53    17  0  1          88        
0410.21:47:50.070 0410.21:47:50.092 0     192.168.0.1     53    0     192.168.0.36    4376  17  0  1          169       
0410.21:47:50.070 0410.21:47:50.092 0     192.168.0.36    4376  0     192.168.0.1     53    17  0  1          88        
0410.21:47:50.070 0410.21:47:50.097 0     192.168.0.1     53    0     192.168.0.36    60394 17  0  1          169       
0410.21:47:50.070 0410.21:47:50.097 0     192.168.0.36    60394 0     192.168.0.1     53    17  0  1          88        
0410.21:47:50.098 0410.21:47:50.113 0     192.168.0.1     53    0     192.168.0.36    53763 17  0  1          169       
0410.21:47:50.098 0410.21:47:50.113 0     192.168.0.36    53763 0     192.168.0.1     53    17  0  1          88        
0410.21:47:50.098 0410.21:47:50.139 0     192.168.0.1     53    0     192.168.0.36    20598 17  0  1          169       
0410.21:47:50.098 0410.21:47:50.139 0     192.168.0.36    20598 0     192.168.0.1     53    17  0  1          88        
0410.21:47:50.682 0410.21:47:50.698 0     192.168.0.1     53    0     192.168.0.36    50930 17  0  1          217       
0410.21:47:50.682 0410.21:47:50.698 0     192.168.0.36    50930 0     192.168.0.1     53    17  0  1          61        
0410.21:47:50.682 0410.21:47:50.697 0     192.168.0.1     53    0     192.168.0.36    18506 17  0  1          193       
0410.21:47:50.682 0410.21:47:50.697 0     192.168.0.36    18506 0     192.168.0.1     53    17  0  1          61        
0410.21:47:50.742 0410.21:47:50.756 0     192.168.0.1     53    0     192.168.0.36    22505 17  0  1          82        
0410.21:47:50.742 0410.21:47:50.756 0     192.168.0.36    22505 0     192.168.0.1     53    17  0  1          66        
0410.21:47:50.743 0410.21:47:50.757 0     192.168.0.1     53    0     192.168.0.36    40215 17  0  1          133       
0410.21:47:50.743 0410.21:47:50.757 0     192.168.0.36    40215 0     192.168.0.1     53    17  0  1          69        
0410.21:47:50.745 0410.21:47:50.765 0     192.168.0.1     53    0     192.168.0.36    2359  17  0  1          156       
0410.21:47:50.745 0410.21:47:50.765 0     192.168.0.36    2359  0     192.168.0.1     53    17  0  1          69        
0410.21:47:50.747 0410.21:47:50.770 0     192.168.0.1     53    0     192.168.0.36    19273 17  0  1          94        
0410.21:47:50.747 0410.21:47:50.770 0     192.168.0.36    19273 0     192.168.0.1     53    17  0  1          66        
0410.21:47:50.750 0410.21:47:50.769 0     192.168.0.1     53    0     192.168.0.36    47313 17  0  1          122       
